sentence1,sentence2,label
"04 Jul, 2024","July 04, 2014",0
"2024, Jul 04",4/7/2024,1
04Jul2024,"2024, Jul 04",1
20240704,"July 04, 2014",0
4/7/2024,"04 July, 2024",1
2024/07/04,2024/04/07,0
7/4/24,"Jul 04, 24",1
07/04/2024,"04 Jul, 2024",1
04/07/24,"July 04, 2014",0
04/07/24,4/7/2024,1
7/4/2024,"04 Jul, 2024",1
"04 Jul, 24",24/04/07,0
04/07/2024,4/7/24,1
"Jul 04, 2024",July 2024 04,0
"2024, Jul 04",04/07/24,1
20240704,"2024, July 04",1
2024Jul04,24/04/07,0
7/4/2024,"04 Jul, 2024",1
7/4/2024,2024/7/4,1
07/04/2024,"August 04, 2024",0
"Jul 04, 24","04 July, 2024",1
"24, Jul 04",24/04/07,0
"2024, Jul 04",7/4/2024,1
"Jul 04, 2024",7/4/2024,1
"2024, July 04",Random date text,0
04/07/2024,20240704,1
"04 July, 2024",07/04/24,1
2024/07/04,2024/04/07,0
"04 Jul, 2024","2024, July 04",1
04/07/24,Random date text,0
"04 Jul, 2024",4/7/24,1
"Jul 04, 24",04/07/24,1
07/04/2024,Random date text,0
"Jul 04, 2024",4/7/2024,1
7/4/2024,"2024, Jul 04",1
Jul042024,July 2024 04,0
"04 July, 2024","July 04, 2024",1
4/7/2024,July 2024 04,0
07/04/24,04/07/24,1
"24, Jul 04",4/7/24,1
"July 04, 2024",Random date text,0
04/07/2024,"Jul 04, 24",1
20240704,"Jul 04, 24",1
"04 Jul, 24","July 04, 2014",0
Jul042024,"24, July 04",1
2024Jul04,July 2024 04,0
"2024, July 04",2024Jul04,1
Jul042024,2024/07/04,1
"2024, July 04",24/04/07,0
07/04/24,"04 July, 2024",1
04/07/2024,"24, Jul 04",1
"2024, July 04","February 31, 2047",0
20240704,2024/07/04,1
"July 04, 2024",July 2024 04,0
20240704,4/7/2024,1
07/04/24,"Jul 04, 2024",1
"04 Jul, 2024","August 04, 2024",0
"Jul 04, 24",4/7/24,1
04/07/24,7/4/2024,1
04/07/24,24/04/07,0
4/7/2024,20240704,1
2024-07-04,2024/04/07,0
2024-07-04,"04 July, 2024",1
04/07/2024,"04 July, 2024",1
04/07/2024,2024/04/07,0
11/11/2024,"11 Nov, 2024",1
"24, Nov 11","2024, Nov 11",1
11/11/24,Random date text,0
2024/11/11,"Nov 11, 24",1
"11 Nov, 24",2024/11/11,0
11/11/24,11/11/24,1
"Nov 11, 2024",11/11/2024,1
11/11/2024,"February 11, 2024",0
11/11/2024,11/11/2024,1
2024/11/11,"2024, Nov 11",1
"Nov 11, 2024","February 11, 2024",0
"11 Nov, 2024",11/11/2024,1
11/11/2024,"January 36, 2066",0
11/11/2024,"11 Nov, 2024",1
11/11/2024,"Nov 11, 2024",1
"2024, November 11",24/11/11,0
20241111,2024/11/11,1
"11 Nov, 24","24, Nov 11",1
11/11/2024,2024/11/11,0
11/11/24,"Nov 11, 2024",1
"2024, Nov 11",November 2024 11,0
"11 November, 2024",11/11/2024,1
11/11/2024,"2024, Nov 11",1
"11 Nov, 24",2024/11/11,0
2024-11-11,"November 11, 2024",1
11Nov2024,2024/11/11,1
2024-11-11,24/11/11,0
"2024, Nov 11",11/11/24,1
11/11/24,Random date text,0
20241111,"2024, November 11",1
"11 Nov, 2024",11/11/24,1
"24, November 11",2024/11/11,0
11/11/2024,"2024, November 11",1
11/11/2024,"2024, November 11",1
"11 Nov, 2024","February 11, 2024",0
"11 November, 2024",2024Nov11,1
"2024, Nov 11","November 11, 2028",0
11/11/2024,11/11/24,1
"11 Nov, 2024",2024Nov11,1
11/11/24,"January 36, 2066",0
11/11/24,"2024, November 11",1
2024/11/11,11/11/24,1
Nov112024,2024/11/11,0
11/11/24,"24, Nov 11",1
11/11/24,24/11/11,0
11/11/2024,20241111,1
"24, Nov 11","11 Nov, 2024",1
2024/11/11,24/11/11,0
11/11/2024,"24, Nov 11",1
2024/11/11,11/11/2024,1
Nov112024,2024/11/11,0
"Nov 11, 2024","2024, Nov 11",1
"Nov 11, 2024",Random date text,0
2024Nov11,2024/11/11,1
11/11/24,Nov112024,1
"2024, November 11","January 36, 2066",0
2024/11/11,11/11/24,1
11/11/2024,"November 11, 2024",1
Nov112024,24/11/11,0
11/11/24,"2024, Nov 11",1
"11 Nov, 2024","January 36, 2066",0
"Nov 11, 2024",11/11/24,1
2024/11/11,"November 11, 2024",1
11Nov2024,24/11/11,0
11/11/2024,11/11/2024,1
2024-11-11,11/11/24,1
11/11/2024,24/11/11,0
Nov112024,11/11/24,1
"11 Nov, 24","February 11, 2024",0
"2024, Nov 11","11 Nov, 2024",1
"Nov 11, 2024",2024/11/11,1
"24, Nov 11",24/11/11,0
Nov112024,11/11/2024,1
11/11/2024,2024/11/11,1
2024Nov11,Random date text,0
11/11/24,"Nov 11, 24",1
2024/11/11,November 2024 11,0
11/11/2024,"24, Nov 11",1
2024-11-11,11/11/2024,1
11/11/24,"January 36, 2066",0
"24, November 11",11/11/2024,1
"November 11, 2024","11 Nov, 2024",1
"11 Nov, 2024","January 36, 2066",0
11/11/24,2024/11/11,1
"Nov 11, 24","January 36, 2066",0
"11 Nov, 2024",11/11/24,1
11/11/2024,11/11/24,1
"11 Nov, 24","January 36, 2066",0
11/11/2024,"11 November, 2024",1
11/11/2024,"Nov 11, 24",1
"24, Nov 11","January 36, 2066",0
11/11/2024,"November 11, 2024",1
20241111,Random date text,0
11/11/24,"2024, Nov 11",1
"11 Nov, 24",11/11/24,1
"11 November, 2024",2024/11/11,0
11Nov2024,"24, Nov 11",1
"11 November, 2024","24, Nov 11",1
"11 November, 2024",24/11/11,0
2024/11/11,"11 Nov, 24",1
11Nov2024,November 2024 11,0
2024Nov11,2024/11/11,1
"Nov 11, 24","Nov 11, 2024",1
"11 November, 2024",24/11/11,0
20241111,"2024, November 11",1
11/11/2024,11/11/2024,1
2024-11-11,"January 36, 2066",0
"November 11, 2024","2024, Nov 11",1
2024Nov11,"February 11, 2024",0
11Nov2024,"11 November, 2024",1
"Nov 11, 24",20241111,1
"24, November 11","November 11, 2028",0
"2024, November 11","24, Nov 11",1
11/11/24,2024/11/11,1
"24, Nov 11",November 2024 11,0
11/11/2024,11Nov2024,1
11/11/2024,November 2024 11,0
"November 11, 2024","11 Nov, 24",1
11/11/24,"2024, Nov 11",1
2024/11/11,Random date text,0
2024/11/11,11Nov2024,1
"11 Nov, 2024",2024-11-11,1
11/11/24,November 2024 11,0
"Nov 11, 24","11 Nov, 2024",1
11/11/2024,"November 11, 2028",0
"November 11, 2024","Nov 11, 2024",1
"Nov 11, 2024","Nov 11, 24",1
2024-11-11,24/11/11,0
11/11/2024,"24, November 11",1
2024Nov11,Nov112024,1
11/11/2024,24/11/11,0
"24, Nov 11",20241111,1
Nov112024,"November 11, 2028",0
"Nov 11, 2024","2024, Nov 11",1
"11 Nov, 24",11/11/24,1
2024/11/11,2024/11/11,0
2024-11-11,2024/11/11,1
11Nov2024,11/11/2024,1
"Nov 11, 2024","February 11, 2024",0
11/11/2024,11/11/2024,1
Nov112024,Random date text,0
2024/11/11,"Nov 11, 2024",1
"11 Nov, 2024",2024/11/11,1
20241111,"February 11, 2024",0
"11 Nov, 2024",Nov112024,1
"2024, November 11",2024Nov11,1
"24, November 11","November 11, 2028",0
2024/11/11,11Nov2024,1
Nov112024,"November 11, 2028",0
Nov112024,11/11/2024,1
11/11/24,11/11/24,1
20241111,"January 36, 2066",0
"2024, November 11",11/11/24,1
11/11/2024,11/11/24,1
"11 November, 2024","January 36, 2066",0
"24, Nov 11",11/11/2024,1
"11 November, 2024","November 11, 2028",0
11/11/24,"2024, November 11",1
"11 Nov, 2024",11/11/24,1
"Nov 11, 2024",2024/11/11,0
"2024, November 11",20241111,1
11/11/24,"11 Nov, 2024",1
Nov112024,2024/11/11,0
"2024, Nov 11","24, November 11",1
20241111,Random date text,0
11/11/2024,"November 11, 2024",1
11/11/24,"2024, Nov 11",1
2024/11/11,"January 36, 2066",0
11/11/2024,11/11/24,1
"24, November 11",Nov112024,1
11/11/24,"January 36, 2066",0
2024/11/11,11/11/2024,1
"11 Nov, 2024",Random date text,0
11/11/2024,"Nov 11, 2024",1
2024/11/11,2024Nov11,1
"2024, Nov 11","November 11, 2028",0
"2024, November 11","11 Nov, 2024",1
11/11/2024,"24, November 11",1
Nov112024,24/11/11,0
Nov112024,20241111,1
"2024, Nov 11",2024/11/11,0
"2024, Nov 11",2024/11/11,1
11/11/2024,"11 Nov, 24",1
"Nov 11, 2024",Random date text,0
11/11/24,"24, Nov 11",1
2024/11/11,11/11/2024,1
11/11/24,2024/11/11,0
"Nov 11, 2024","11 Nov, 2024",1
"11 November, 2024",24/11/11,0
"2024, Nov 11",11/11/24,1
"11 Nov, 2024","2024, Nov 11",1
"11 Nov, 24","November 11, 2028",0
"Nov 11, 2024",11/11/24,1
Nov112024,"24, November 11",1
"11 Nov, 24",2024/11/11,0
"24, November 11","11 November, 2024",1
"11 Nov, 2024",November 2024 11,0
"11 Nov, 2024","24, Nov 11",1
"Nov 11, 2024",11/11/24,1
11Nov2024,November 2024 11,0
"Feb 02, 2025",2/2/2025,1
"02 Feb, 25","02 Feb, 2025",1
"Feb 02, 25","February 02, 2032",0
02/02/25,"Feb 02, 25",1
"Feb 02, 2025",2025/02/02,0
2025-02-02,2025Feb02,1
Feb022025,02/02/25,1
Feb022025,Random date text,0
2025/02/02,"February 02, 2025",1
2/2/2025,20250202,1
"2025, Feb 02",2025/02/02,0
Feb022025,02/02/25,1
2/2/2025,February 2025 02,0
"February 02, 2025",2025/02/02,1
02/02/2025,02/02/25,1
2/2/2025,25/02/02,0
"02 Feb, 2025",02/02/25,1
Feb022025,"2025, February 02",1
"February 02, 2025","June 38, 2097",0
02/02/25,2025/2/2,1
"2025, Feb 02",February 2025 02,0
2025/2/2,Feb022025,1
"2025, Feb 02",02/02/25,1
2025/02/02,"December 02, 2025",0
20250202,"02 Feb, 2025",1
"02 Feb, 2025","02 Feb, 25",1
2/2/25,February 2025 02,0
"02 Feb, 2025",Feb022025,1
"Feb 02, 2025",25/02/02,0
02/02/2025,"Feb 02, 25",1
02/02/25,"Feb 02, 2025",1
"02 Feb, 25","June 38, 2097",0
2/2/2025,"02 Feb, 2025",1
"25, February 02",2/2/2025,1
"02 Feb, 2025",Random date text,0
2025/2/2,"2025, February 02",1
2/2/25,"June 38, 2097",0
2/2/2025,02/02/25,1
02Feb2025,2025/2/2,1
20250202,"February 02, 2032",0
"2025, Feb 02","25, Feb 02",1
2/2/25,"02 Feb, 25",1
02/02/2025,"December 02, 2025",0
"02 Feb, 25","Feb 02, 25",1
"2025, February 02","June 38, 2097",0
2025Feb02,20250202,1
2/2/2025,02/02/2025,1
"2025, February 02",25/02/02,0
02/02/25,"Feb 02, 25",1
2/2/25,"02 February, 2025",1
"02 Feb, 2025","June 38, 2097",0
"Feb 02, 2025","Feb 02, 2025",1
02/02/25,"June 38, 2097",0
2025/02/02,2/2/25,1
2025-02-02,2/2/2025,1
"25, Feb 02",February 2025 02,0
Feb022025,2/2/2025,1
2/2/2025,02/02/2025,1
"February 02, 2025","June 38, 2097",0
02Feb2025,2025-02-02,1
"Feb 02, 25",Random date text,0
02/02/2025,20250202,1
"Feb 02, 25",20250202,1
"February 02, 2025",25/02/02,0
02/02/25,2025/2/2,1
02/02/25,2/2/2025,1
2/2/2025,"December 02, 2025",0
20250202,"Feb 02, 25",1
2025-02-02,2025/02/02,0
"February 02, 2025",02/02/25,1
"02 Feb, 2025",02Feb2025,1
"25, February 02",2025/02/02,0
"25, February 02","25, Feb 02",1
2/2/25,Feb022025,1
"February 02, 2025",February 2025 02,0
"2025, Feb 02","February 02, 2025",1
"February 02, 2025",Random date text,0
"Feb 02, 25",2/2/25,1
"02 Feb, 2025",2025/2/2,1
2025/2/2,"February 02, 2032",0
2/2/2025,2025Feb02,1
"02 Feb, 25","02 February, 2025",1
"2025, Feb 02",Random date text,0
"Feb 02, 2025","Feb 02, 2025",1
20250202,Random date text,0
2025/02/02,"02 Feb, 25",1
2/2/2025,"02 Feb, 2025",1
Feb022025,February 2025 02,0
"2025, February 02","2025, Feb 02",1
2025-02-02,02/02/2025,1
"Feb 02, 25",25/02/02,0
20250202,2025/2/2,1
"February 02, 2025",Random date text,0
2/2/25,"Feb 02, 25",1
2/2/2025,02/02/2025,1
02/02/25,Random date text,0
"02 Feb, 2025",2/2/2025,1
02/02/2025,2025-02-02,1
"2025, Feb 02",Random date text,0
2025/2/2,"February 02, 2025",1
2025-02-02,"June 38, 2097",0
"02 Feb, 2025",02/02/25,1
"2025, February 02",2025/2/2,1
20250202,2025/02/02,0
"2025, Feb 02",02/02/2025,1
"02 Feb, 2025","February 02, 2025",1
2/2/25,"February 02, 2032",0
"February 02, 2025","Feb 02, 2025",1
"02 February, 2025","June 38, 2097",0
"February 02, 2025","25, February 02",1
2/2/2025,02/02/25,1
02/02/25,"February 02, 2032",0
02/02/25,"February 02, 2025",1
"February 02, 2025","Feb 02, 25",1
02/02/2025,Random date text,0
20250202,2025Feb02,1
02/02/25,"February 02, 2032",0
02/02/2025,02/02/25,1
20250202,"February 02, 2025",1
"02 Feb, 2025",2025/02/02,0
2/2/2025,2025/2/2,1
"2025, February 02",2/2/25,1
2/2/2025,25/02/02,0
"2025, February 02",02/02/2025,1
2025/2/2,"December 02, 2025",0
02/02/2025,"02 Feb, 2025",1
"02 Feb, 25",02Feb2025,1
"Feb 02, 2025",25/02/02,0
"February 02, 2025",2/2/2025,1
"02 Feb, 25","2025, Feb 02",1
"25, Feb 02",February 2025 02,0
02Feb2025,"25, Feb 02",1
2/2/2025,"June 38, 2097",0
"02 Feb, 2025",2025/2/2,1
02/02/25,02Feb2025,1
02/02/2025,2025/02/02,0
"Feb 02, 2025","2025, February 02",1
20250202,02/02/2025,1
"25, Feb 02","February 02, 2032",0
02/02/2025,"02 Feb, 2025",1
20250202,Random date text,0
"02 February, 2025","2025, Feb 02",1
"February 02, 2025",2/2/25,1
2025/02/02,2025/02/02,0
02/02/25,20250202,1
2/2/2025,02/02/25,1
02/02/2025,"June 38, 2097",0
"February 02, 2025",2025/2/2,1
02/02/25,25/02/02,0
02Feb2025,"2025, Feb 02",1
"02 Feb, 2025",2/2/25,1
"25, Feb 02","June 38, 2097",0
02/02/2025,"25, February 02",1
2025-02-02,2/2/2025,1
2025/02/02,25/02/02,0
20250202,2/2/2025,1
"2025, February 02",Random date text,0
2025/02/02,02/02/2025,1
"02 Feb, 25","25, Feb 02",1
2025Feb02,"February 02, 2032",0
"2025, Feb 02","02 Feb, 2025",1
Feb022025,02/02/25,1
"02 February, 2025","December 02, 2025",0
"Feb 02, 2025",02/02/25,1
Feb022025,2025/02/02,0
2/2/25,"Feb 02, 2025",1
"02 Feb, 2025",Feb022025,1
2025-02-02,25/02/02,0
02/02/25,"Feb 02, 2025",1
"02 Feb, 25",2025/2/2,1
2/2/25,February 2025 02,0
20250202,"2025, February 02",1
"25, Feb 02","December 02, 2025",0
"2025, Feb 02","02 Feb, 2025",1
2025/2/2,2/2/2025,1
02Feb2025,"December 02, 2025",0
2025-02-02,"02 Feb, 25",1
2/2/25,02/02/25,1
02/02/2025,February 2025 02,0
"Feb 02, 2025",02/02/2025,1
"02 Feb, 25","June 38, 2097",0
02Feb2025,"Feb 02, 25",1
02/02/2025,"02 Feb, 2025",1
02/02/25,"December 02, 2025",0
"02 Feb, 2025",2/2/2025,1
2025Feb02,02/02/25,1
Feb022025,25/02/02,0
"02 February, 2025","2025, Feb 02",1
"2025, Feb 02",25/02/02,0
"25, February 02",02/02/25,1
"02 Feb, 2025",2025/2/2,1
20250202,"June 38, 2097",0
02Feb2025,2025/2/2,1
"February 02, 2025",02/02/25,1
2025Feb02,"December 02, 2025",0
02/02/2025,2/2/2025,1
"Feb 02, 25",February 2025 02,0
2025Feb02,Feb022025,1
Feb022025,2/2/25,1
02Feb2025,"February 02, 2032",0
"15 Mar, 2025","15 Mar, 25",1
03/15/2025,15Mar2025,1
3/15/2025,"March 15, 2017",0
15/3/2025,"15 Mar, 25",1
"15 March, 2025","August 39, 2061",0
"2025, Mar 15",3/15/25,1
15/3/2025,03/15/2025,1
"2025, March 15",Random date text,0
15/3/25,Mar152025,1
2025Mar15,"2025, March 15",1
3/15/2025,"March 15, 2017",0
"Mar 15, 2025",15/3/25,1
15/03/25,March 2025 15,0
"25, March 15","Mar 15, 2025",1
"15 Mar, 25",15/03/2025,1
"Mar 15, 25","June 15, 2025",0
"15 March, 2025","15 Mar, 2025",1
"2025, Mar 15",2025Mar15,1
2025-03-15,"March 15, 2017",0
"15 Mar, 2025","15 Mar, 25",1
"15 March, 2025","June 15, 2025",0
2025-03-15,"25, Mar 15",1
"2025, Mar 15","25, Mar 15",1
"Mar 15, 25","March 15, 2017",0
15/3/2025,"Mar 15, 2025",1
03/15/25,3/15/2025,1
"Mar 15, 25","March 15, 2017",0
"25, March 15",2025/03/15,1
"2025, March 15","March 15, 2017",0
"15 March, 2025",15/3/2025,1
"Mar 15, 2025",15Mar2025,1
2025/3/15,"June 15, 2025",0
"March 15, 2025",Mar152025,1
3/15/25,"March 15, 2025",1
15/03/2025,"March 15, 2017",0
"15 March, 2025",2025-03-15,1
"25, Mar 15","June 15, 2025",0
2025/03/15,"March 15, 2025",1
2025-03-15,3/15/25,1
3/15/25,25/15/03,0
"15 Mar, 2025",2025/3/15,1
15/03/2025,"Mar 15, 2025",1
20250315,25/15/03,0
20250315,Mar152025,1
"Mar 15, 2025",Random date text,0
15/03/2025,"Mar 15, 2025",1
"25, Mar 15",2025/3/15,1
20250315,"March 15, 2017",0
2025Mar15,15/3/25,1
"25, Mar 15","15 Mar, 25",1
3/15/25,"June 15, 2025",0
"25, March 15","2025, Mar 15",1
15/03/2025,Random date text,0
"25, Mar 15","25, March 15",1
"2025, Mar 15","2025, March 15",1
2025/03/15,2025/15/03,0
2025-03-15,"Mar 15, 2025",1
15/03/25,2025-03-15,1
"15 Mar, 2025","June 15, 2025",0
3/15/25,15/03/25,1
"2025, Mar 15",25/15/03,0
"March 15, 2025",2025/3/15,1
"2025, March 15","Mar 15, 2025",1
15/3/25,"March 15, 2017",0
2025/03/15,03/15/25,1
3/15/25,2025/3/15,1
20250315,"June 15, 2025",0
"25, Mar 15","Mar 15, 2025",1
"March 15, 2025",2025/15/03,0
15/3/25,"15 Mar, 25",1
"2025, Mar 15",03/15/2025,1
"March 15, 2025",March 2025 15,0
03/15/2025,"2025, Mar 15",1
"Mar 15, 2025","Mar 15, 25",1
"Mar 15, 25",2025/15/03,0
3/15/2025,15/03/25,1
15/3/2025,"June 15, 2025",0
"March 15, 2025",15/3/25,1
15/3/2025,"15 Mar, 2025",1
"2025, Mar 15",March 2025 15,0
2025Mar15,2025/3/15,1
15Mar2025,20250315,1
"March 15, 2025",Random date text,0
"25, Mar 15",2025-03-15,1
"15 Mar, 2025",Random date text,0
15/3/2025,2025/03/15,1
"25, March 15",15/03/25,1
2025/3/15,"June 15, 2025",0
"March 15, 2025",20250315,1
"15 Mar, 25","15 Mar, 2025",1
"Mar 15, 2025",March 2025 15,0
"15 Mar, 25",2025-03-15,1
"2025, Mar 15",March 2025 15,0
3/15/25,"15 Mar, 2025",1
"March 15, 2025","15 March, 2025",1
"Mar 15, 25",Random date text,0
"15 Mar, 25","25, March 15",1
"25, Mar 15",Mar152025,1
15/3/2025,"August 39, 2061",0
2025-03-15,15/03/25,1
"25, Mar 15","March 15, 2017",0
15/3/25,15/3/2025,1
03/15/2025,"25, Mar 15",1
15/03/25,2025/15/03,0
15/3/2025,"15 March, 2025",1
3/15/25,"2025, Mar 15",1
2025-03-15,25/15/03,0
15/3/2025,"Mar 15, 25",1
2025Mar15,Random date text,0
03/15/2025,"Mar 15, 2025",1
"March 15, 2025",2025/3/15,1
03/15/25,"June 15, 2025",0
2025/3/15,"2025, Mar 15",1
3/15/25,15Mar2025,1
"15 March, 2025",25/15/03,0
"25, March 15",Mar152025,1
03/15/2025,"August 39, 2061",0
2025/03/15,"15 Mar, 25",1
"15 March, 2025","25, March 15",1
"2025, March 15","March 15, 2017",0
"25, Mar 15",15/03/25,1
"March 15, 2025",03/15/25,1
3/15/2025,25/15/03,0
"25, Mar 15","15 Mar, 25",1
"March 15, 2025","June 15, 2025",0
"March 15, 2025","Mar 15, 2025",1
03/15/25,"15 Mar, 25",1
"25, Mar 15","March 15, 2017",0
03/15/25,15/03/25,1
Mar152025,03/15/25,1
20250315,"March 15, 2017",0
15Mar2025,2025Mar15,1
15/3/25,2025/15/03,0
"2025, Mar 15","15 Mar, 25",1
"15 March, 2025",03/15/2025,1
"25, March 15","August 39, 2061",0
3/15/25,"Mar 15, 2025",1
15/03/25,15/3/25,1
"2025, March 15","June 15, 2025",0
03/15/25,2025Mar15,1
"Mar 15, 25",Random date text,0
"Mar 15, 2025","15 Mar, 2025",1
15/3/2025,3/15/25,1
3/15/2025,March 2025 15,0
"15 Mar, 2025","15 Mar, 2025",1
2025/3/15,Mar152025,1
2025/3/15,"June 15, 2025",0
"2025, Mar 15",20250315,1
15Mar2025,2025/15/03,0
2025-03-15,"2025, March 15",1
2025/03/15,15/03/2025,1
15/03/25,2025/15/03,0
"25, March 15",20250315,1
03/15/25,"25, March 15",1
"15 Mar, 2025",Random date text,0
20250315,2025/3/15,1
03/15/25,"August 39, 2061",0
"15 March, 2025",3/15/2025,1
Mar152025,2025/03/15,1
"15 March, 2025","June 15, 2025",0
"2025, Mar 15",15/03/25,1
"March 15, 2025",2025/3/15,1
"Mar 15, 2025","March 15, 2017",0
15/3/2025,"2025, Mar 15",1
15/3/2025,"August 39, 2061",0
"2025, March 15","25, March 15",1
"2025, Mar 15",15Mar2025,1
15/3/25,"June 15, 2025",0
15/03/2025,03/15/2025,1
15/03/25,15/3/25,1
"2025, Mar 15",25/15/03,0
3/15/2025,"Mar 15, 2025",1
"15 Mar, 2025","June 15, 2025",0
03/15/2025,"15 Mar, 2025",1
03/15/2025,"25, March 15",1
15/03/25,"March 15, 2017",0
"15 March, 2025","2025, Mar 15",1
03/15/2025,"Mar 15, 2025",1
15/03/25,25/15/03,0
Mar152025,2025/03/15,1
2025Mar15,"June 15, 2025",0
"Mar 15, 25","2025, Mar 15",1
"25, March 15",15/3/25,1
15/03/2025,25/15/03,0
"25, March 15",15/3/25,1
03/15/2025,15/3/2025,1
2025-03-15,25/15/03,0
15/3/2025,"15 Mar, 2025",1
15/3/25,25/15/03,0
3/15/25,"2025, Mar 15",1
15/03/2025,"Mar 15, 2025",1
"2025, Mar 15",2025/15/03,0
2025/3/15,"2025, Mar 15",1
15/3/25,15/03/25,1
3/15/2025,"March 15, 2017",0
"15 Mar, 2025","Mar 15, 25",1
"25, March 15",March 2025 15,0
"15 Mar, 2025","March 15, 2025",1
"2025, Mar 15",15/03/2025,1
Mar152025,2025/15/03,0
2024/07/09,"Jul 09, 2024",1
2024Jul09,20240709,1
"July 09, 2024","July 09, 2021",0
2024/07/09,07/09/24,1
7/9/24,24/09/07,0
"24, Jul 09",2024-07-09,1
"09 Jul, 2024","09 Jul, 2024",1
09Jul2024,Random date text,0
Jul092024,2024/07/09,1
"24, Jul 09",2024-07-09,1
"Jul 09, 2024",2024/09/07,0
2024/7/9,"09 Jul, 2024",1
"Jul 09, 2024","May 40, 2058",0
20240709,"09 July, 2024",1
09Jul2024,"09 Jul, 2024",1
"09 Jul, 2024",2024/09/07,0
2024Jul09,"Jul 09, 24",1
07/09/2024,2024/7/9,1
07/09/2024,"May 40, 2058",0
2024Jul09,07/09/2024,1
2024/07/09,Random date text,0
"24, July 09","Jul 09, 24",1
2024Jul09,Jul092024,1
"July 09, 2024","May 40, 2058",0
7/9/24,"July 09, 2024",1
"09 Jul, 24","Jul 09, 24",1
9/7/2024,"July 09, 2021",0
2024/07/09,09Jul2024,1
"Jul 09, 2024","July 09, 2021",0
7/9/24,20240709,1
9/7/2024,"09 July, 2024",1
09/07/24,24/09/07,0
07/09/2024,"24, July 09",1
7/9/24,"July 09, 2024",1
7/9/2024,"September 09, 2024",0
Jul092024,"2024, Jul 09",1
2024Jul09,July 2024 09,0
"2024, July 09",Jul092024,1
2024Jul09,"2024, Jul 09",1
"2024, July 09","July 09, 2021",0
"09 Jul, 2024",2024Jul09,1
2024Jul09,09/07/24,1
"Jul 09, 2024",July 2024 09,0
07/09/2024,"Jul 09, 24",1
2024/07/09,"July 09, 2021",0
"24, Jul 09",Jul092024,1
"July 09, 2024","Jul 09, 2024",1
"24, Jul 09",24/09/07,0
"09 July, 2024",7/9/24,1
7/9/2024,"Jul 09, 24",1
"2024, Jul 09",Random date text,0
"Jul 09, 2024",07/09/24,1
07/09/24,Random date text,0
07/09/2024,20240709,1
2024/7/9,7/9/2024,1
7/9/2024,"July 09, 2021",0
"July 09, 2024",2024/07/09,1
2024-07-09,"09 Jul, 24",1
2024/7/9,24/09/07,0
2024-07-09,07/09/24,1
2024/7/9,24/09/07,0
09/07/24,7/9/2024,1
"09 Jul, 24","2024, Jul 09",1
09/07/2024,"May 40, 2058",0
9/7/2024,7/9/2024,1
"09 Jul, 24",9/7/2024,1
2024Jul09,"May 40, 2058",0
"09 Jul, 2024","Jul 09, 2024",1
07/09/24,"May 40, 2058",0
07/09/2024,9/7/24,1
"09 Jul, 2024","09 Jul, 24",1
07/09/24,24/09/07,0
"2024, Jul 09",2024-07-09,1
09/07/24,"24, July 09",1
09Jul2024,24/09/07,0
"Jul 09, 2024","2024, Jul 09",1
"Jul 09, 2024",Random date text,0
20240709,2024Jul09,1
9/7/24,"09 Jul, 24",1
"Jul 09, 2024","September 09, 2024",0
09/07/2024,20240709,1
"24, July 09",7/9/24,1
"09 Jul, 2024","July 09, 2021",0
2024/7/9,"2024, Jul 09",1
2024/7/9,July 2024 09,0
9/7/24,7/9/24,1
09Jul2024,09/07/24,1
"09 July, 2024",Random date text,0
"09 Jul, 2024",7/9/24,1
"2024, Jul 09","09 Jul, 24",1
"July 09, 2024",Random date text,0
09/07/2024,"July 09, 2024",1
"09 July, 2024",Random date text,0
"Jul 09, 2024",09/07/2024,1
"24, July 09",2024/7/9,1
"2024, Jul 09","July 09, 2021",0
7/9/24,9/7/24,1
"Jul 09, 2024",2024-07-09,1
07/09/2024,July 2024 09,0
"Jul 09, 2024","2024, Jul 09",1
"24, Jul 09",July 2024 09,0
7/9/24,"2024, July 09",1
Jul092024,"09 July, 2024",1
07/09/24,July 2024 09,0
"Jul 09, 24",09/07/2024,1
9/7/2024,"2024, Jul 09",1
09/07/2024,Random date text,0
"Jul 09, 24","24, July 09",1
2024-07-09,2024/09/07,0
"2024, Jul 09","09 Jul, 24",1
"24, July 09","09 Jul, 24",1
"24, July 09","July 09, 2021",0
"Jul 09, 24",07/09/24,1
2024-07-09,09Jul2024,1
"2024, Jul 09",24/09/07,0
"2024, July 09","Jul 09, 2024",1
9/7/2024,"May 40, 2058",0
09Jul2024,"09 Jul, 2024",1
20240709,"Jul 09, 2024",1
"09 Jul, 24",24/09/07,0
"2024, Jul 09",07/09/24,1
"2024, July 09","09 Jul, 24",1
"24, Jul 09","May 40, 2058",0
09/07/24,2024-07-09,1
2024Jul09,July 2024 09,0
"2024, July 09","09 Jul, 2024",1
7/9/2024,9/7/2024,1
"09 Jul, 2024",July 2024 09,0
2024Jul09,07/09/24,1
"2024, Jul 09","July 09, 2024",1
"09 July, 2024",24/09/07,0
07/09/2024,"July 09, 2024",1
7/9/24,"September 09, 2024",0
"09 Jul, 2024",2024-07-09,1
20240709,7/9/2024,1
07/09/2024,Random date text,0
2024/7/9,Jul092024,1
2024/7/9,Jul092024,1
07/09/24,2024/09/07,0
9/7/24,"24, Jul 09",1
"09 Jul, 24",2024/09/07,0
